MemberID,Churn_Probability,Risk_Tier,Top_Driver,Recommended_Action
H00000,0.7437,HIGH,,
H00001,0.0691,LOW,,
H00002,0.0751,LOW,,
H00003,0.0494,LOW,,
H00004,0.3531,LOW,,
H00005,0.0771,LOW,,
H00006,0.1452,LOW,,
H00007,0.0324,LOW,,
H00008,0.4795,MEDIUM,,
H00009,0.2145,LOW,,
H00010,0.0602,LOW,,
H00011,0.049,LOW,,
H00012,0.0617,LOW,,
H00013,0.0785,LOW,,
H00014,0.3817,LOW,,
H00015,0.7418,HIGH,,
H00016,0.1452,LOW,,
H00017,0.1644,LOW,,
H00018,0.3957,LOW,,
H00019,0.0206,LOW,,
H00020,0.0462,LOW,,
H00021,0.0754,LOW,,
H00022,0.4992,MEDIUM,,
H00023,0.0364,LOW,,
H00024,0.7728,HIGH,,
H00025,0.0256,LOW,,
H00026,0.0242,LOW,,
H00027,0.1143,LOW,,
H00028,0.0632,LOW,,
H00029,0.496,MEDIUM,,
H00030,0.8753,HIGH,,
H00031,0.2043,LOW,,
H00032,0.5963,MEDIUM,,
H00033,0.1642,LOW,,
H00034,0.0268,LOW,,
H00035,0.043,LOW,,
H00036,0.4494,MEDIUM,,
H00037,0.0092,LOW,,
H00038,0.0286,LOW,,
H00039,0.7674,HIGH,,
H00040,0.0672,LOW,,
H00041,0.0353,LOW,,
H00042,0.0442,LOW,,
H00043,0.0168,LOW,,
H00044,0.0841,LOW,,
H00045,0.8646,HIGH,,
H00046,0.0302,LOW,,
H00047,0.0406,LOW,,
H00048,0.0379,LOW,,
H00049,0.0602,LOW,,
H00050,0.0859,LOW,,
H00051,0.2607,LOW,,
H00052,0.0173,LOW,,
H00053,0.0436,LOW,,
H00054,0.0436,LOW,,
H00055,0.1371,LOW,,
H00056,0.0464,LOW,,
H00057,0.7153,HIGH,,
H00058,0.0213,LOW,,
H00059,0.0873,LOW,,
H00060,0.2137,LOW,,
H00061,0.4167,MEDIUM,,
H00062,0.1296,LOW,,
H00063,0.2118,LOW,,
H00064,0.0626,LOW,,
H00065,0.0226,LOW,,
H00066,0.0171,LOW,,
H00067,0.0325,LOW,,
H00068,0.1944,LOW,,
H00069,0.0746,LOW,,
H00070,0.0245,LOW,,
H00071,0.0657,LOW,,
H00072,0.0665,LOW,,
H00073,0.2738,LOW,,
